DFHG Author,LOFTS urn
HECATAEUS,urn:lofts:fhg.1.hecataeus
CHARON,urn:lofts:fhg.1.charon
XANTHUS,urn:lofts:fhg.1.xanthus
HELLANICUS,urn:lofts:fhg.1.hellanicus
PHERECYDES,urn:lofts:fhg.1.pherecydes
ACUSILAUS,urn:lofts:fhg.1.acusilaus
APOLLODORUS ATHENIENSIS,urn:lofts:fhg.1.apollodorus_atheniensis
ANTIOCHUS,urn:lofts:fhg.1.antiochus
PHILISTUS,urn:lofts:fhg.1.philistus
TIMAEUS,urn:lofts:fhg.1.timaeus
EPHORUS,urn:lofts:fhg.1.ephorus
THEOPOMPUS,urn:lofts:fhg.1.theopompus
PHYLARCHUS,urn:lofts:fhg.1.phylarchus
CLIDEMUS,urn:lofts:fhg.1.clidemus
PHANODEMUS,urn:lofts:fhg.1.phanodemus
ANDROTIO,urn:lofts:fhg.1.androtio
DEMO,urn:lofts:fhg.1.demo
PHILOCHORUS,urn:lofts:fhg.1.philochorus
ISTER,urn:lofts:fhg.1.ister
APOLLODORUS,urn:lofts:fhg.1.apollodorus
MARMOR PARIUM,urn:lofts:fhg.1.marmor_parium
MARMOR ROSETTANUM,urn:lofts:fhg.1.marmor_rosettanum
DIODORUS SICULUS,urn:lofts:fhg.2.diodorus_siculus
POLYBIUS MEGALOPOLITANUS,urn:lofts:fhg.2.polybius_megalopolitanus
DIONYSIUS HALICARNASSENSIS,urn:lofts:fhg.2.dionysius_halicarnassensis
CADMUS MILESIUS,urn:lofts:fhg.2.cadmus_milesius
DIONYSIUS MILESIUS,urn:lofts:fhg.2.dionysius_milesius
DIONYSIUS MYTILENAEUS,urn:lofts:fhg.2.dionysius_mytilenaeus
DIONYSIUS RHODIUS SIVE SAMIUS,urn:lofts:fhg.2.dionysius_rhodius_sive_samius
HIPPYS RHEGINUS,urn:lofts:fhg.2.hippys_rheginus
EUGEON SAMIUS,urn:lofts:fhg.2.eugeon_samius
DEIOCHUS PROCONNESIUS,urn:lofts:fhg.2.deiochus_proconnesius
BION PROCONNESIUS,urn:lofts:fhg.2.bion_proconnesius
EUDEMUS PARIUS,urn:lofts:fhg.2.eudemus_parius
DEMOCLES PYGELENSIS,urn:lofts:fhg.2.democles_pygelensis
AMELESAGORAS CHALCEDONIUS,urn:lofts:fhg.2.amelesagoras_chalcedonius
GLAUCUS RHEGINUS,urn:lofts:fhg.2.glaucus_rheginus
DEMOCRITUS ABDERITA,urn:lofts:fhg.2.democritus_abderita
HERODORUS HERACLEENSIS,urn:lofts:fhg.2.herodorus_heracleensis
SIMONIDES CEUS,urn:lofts:fhg.2.simonides_ceus
XENOMEDES CHIUS,urn:lofts:fhg.2.xenomedes_chius
ION CHIUS,urn:lofts:fhg.2.ion_chius
STESIMBROTUS THASIUS,urn:lofts:fhg.2.stesimbrotus_thasius
HIPPIAS ELEUS,urn:lofts:fhg.2.hippias_eleus
DAMASTES SIGEENSIS,urn:lofts:fhg.2.damastes_sigeensis
ANAXIMANDER MILESIUS,urn:lofts:fhg.2.anaximander_milesius
CRITIAS ATHENIENSIS,urn:lofts:fhg.2.critias_atheniensis
THEMISTOGENES SYRACUSANUS,urn:lofts:fhg.2.themistogenes_syracusanus
SOPHAENETUS STYMPHALIUS,urn:lofts:fhg.2.sophaenetus_stymphalius
CRATIPPUS,urn:lofts:fhg.2.cratippus
ARISTIPPUS CYRENAEUS,urn:lofts:fhg.2.aristippus_cyrenaeus
DIONYSIUS TYRANNUS,urn:lofts:fhg.2.dionysius_tyrannus
HERMIAS METHYMNAEUS,urn:lofts:fhg.2.hermias_methymnaeus
ATHANAS SYRACUSANUS,urn:lofts:fhg.2.athanas_syracusanus
TIMONIDES LEUCADIUS,urn:lofts:fhg.2.timonides_leucadius
DIONYSODORUS BOEOTUS,urn:lofts:fhg.2.dionysodorus_boeotus
ANAXIS BOEOTUS,urn:lofts:fhg.2.anaxis_boeotus
ZOILUS AMPHIPOLITA,urn:lofts:fhg.2.zoilus_amphipolita
CEPHISODORUS,urn:lofts:fhg.2.cephisodorus
DEMOPHILUS,urn:lofts:fhg.2.demophilus
THEOCRITUS CHIUS,urn:lofts:fhg.2.theocritus_chius
DINO,urn:lofts:fhg.2.dino
HERACLIDES CUMANUS,urn:lofts:fhg.2.heraclides_cumanus
ARISTAGORAS MILESIUS,urn:lofts:fhg.2.aristagoras_milesius
ARISTOTELES,urn:lofts:fhg.2.aristoteles
DIOSCORIDES,urn:lofts:fhg.2.dioscorides
HERACLIDES PONTICUS,urn:lofts:fhg.2.heraclides_ponticus
DICAEARCHUS MESSENIUS,urn:lofts:fhg.2.dicaearchus_messenius
